time_tag,soft_flux,hard_flux
2026-06-19 05:10:00+00:00,4.684949033162411e-07,9.999999717180685e-10
2026-06-19 05:11:00+00:00,4.657288172893459e-07,9.999999717180685e-10
2026-06-19 05:12:00+00:00,4.5940501536279044e-07,9.999999717180685e-10
2026-06-19 05:13:00+00:00,4.5333618459153513e-07,9.999999717180685e-10
2026-06-19 05:14:00+00:00,4.501358716879622e-07,9.999999717180685e-10
2026-06-19 05:15:00+00:00,4.434044456047559e-07,9.999999717180685e-10
2026-06-19 05:16:00+00:00,4.3809333760691516e-07,9.999999717180685e-10
2026-06-19 05:17:00+00:00,4.3637516000671894e-07,9.999999717180685e-10
2026-06-19 05:18:00+00:00,4.3137791294611816e-07,9.999999717180685e-10
2026-06-19 05:19:00+00:00,4.2797148580575595e-07,9.999999717180685e-10
2026-06-19 05:20:00+00:00,4.228818966112158e-07,9.999999717180685e-10
2026-06-19 05:21:00+00:00,4.2086099938387633e-07,9.999999717180685e-10
2026-06-19 05:22:00+00:00,4.195866267764359e-07,9.999999717180685e-10
2026-06-19 05:23:00+00:00,4.1769567360461224e-07,9.999999717180685e-10
2026-06-19 05:24:00+00:00,4.1999101085821167e-07,9.999999717180685e-10
2026-06-19 05:25:00+00:00,4.2717570636341406e-07,9.999999717180685e-10
2026-06-19 05:26:00+00:00,4.274334628462384e-07,9.999999717180685e-10
2026-06-19 05:27:00+00:00,4.2368091612843273e-07,9.999999717180685e-10
2026-06-19 05:28:00+00:00,4.179943289273069e-07,9.999999717180685e-10
2026-06-19 05:29:00+00:00,4.1482797996650334e-07,9.999999717180685e-10
2026-06-19 05:30:00+00:00,4.128010289150552e-07,9.999999717180685e-10
2026-06-19 05:31:00+00:00,4.1078556023421697e-07,9.999999717180685e-10
2026-06-19 05:32:00+00:00,4.1116021520792856e-07,9.999999717180685e-10
2026-06-19 05:33:00+00:00,4.133645177262224e-07,9.999999717180685e-10
2026-06-19 05:34:00+00:00,4.1267597339356143e-07,9.999999717180685e-10
2026-06-19 05:35:00+00:00,4.1270254769187886e-07,9.999999717180685e-10
2026-06-19 05:36:00+00:00,4.1565110109331727e-07,9.999999717180685e-10
2026-06-19 05:37:00+00:00,4.179749737431848e-07,9.999999717180685e-10
2026-06-19 05:38:00+00:00,4.184817896657478e-07,9.999999717180685e-10
2026-06-19 05:39:00+00:00,4.1558703856026113e-07,9.999999717180685e-10
2026-06-19 05:40:00+00:00,4.152230985710048e-07,9.999999717180685e-10
2026-06-19 05:41:00+00:00,4.168833811490913e-07,9.999999717180685e-10
2026-06-19 05:42:00+00:00,4.194063478735188e-07,9.999999717180685e-10
2026-06-19 05:43:00+00:00,4.2727486970761674e-07,9.999999717180685e-10
2026-06-19 05:44:00+00:00,4.34701377116653e-07,9.999999717180685e-10
2026-06-19 05:45:00+00:00,4.352720566203061e-07,9.999999717180685e-10
2026-06-19 05:46:00+00:00,4.334757477408857e-07,9.999999717180685e-10
2026-06-19 05:47:00+00:00,4.303945502215356e-07,9.999999717180685e-10
2026-06-19 05:48:00+00:00,4.2941911715388414e-07,9.999999717180685e-10
2026-06-19 05:49:00+00:00,4.2356623453088105e-07,9.999999717180685e-10
2026-06-19 05:50:00+00:00,4.211141231280635e-07,9.999999717180685e-10
2026-06-19 05:51:00+00:00,4.1618665136411437e-07,9.999999717180685e-10
2026-06-19 05:52:00+00:00,4.130247077682725e-07,9.999999717180685e-10
2026-06-19 05:53:00+00:00,4.1008911466633435e-07,9.999999717180685e-10
2026-06-19 05:54:00+00:00,4.181382564638625e-07,9.999999717180685e-10
2026-06-19 05:55:00+00:00,4.563847539884591e-07,9.999999717180685e-10
2026-06-19 05:56:00+00:00,4.909465474156605e-07,9.999999717180685e-10
2026-06-19 05:57:00+00:00,4.435420351001085e-07,9.999999717180685e-10
2026-06-19 05:58:00+00:00,4.5189727870820207e-07,9.999999717180685e-10
2026-06-19 05:59:00+00:00,4.309086989451316e-07,9.999999717180685e-10
2026-06-19 06:00:00+00:00,4.375566220460314e-07,9.999999717180685e-10
2026-06-19 06:01:00+00:00,4.269182056759746e-07,9.999999717180685e-10
2026-06-19 06:02:00+00:00,4.31645673870662e-07,9.999999717180685e-10
2026-06-19 06:03:00+00:00,4.234501602695673e-07,9.999999717180685e-10
2026-06-19 06:04:00+00:00,4.1770746861402586e-07,9.999999717180685e-10
2026-06-19 06:05:00+00:00,4.1868599964800524e-07,9.999999717180685e-10
2026-06-19 06:06:00+00:00,4.188738671473402e-07,9.999999717180685e-10
2026-06-19 06:07:00+00:00,4.180276675924688e-07,9.999999717180685e-10
2026-06-19 06:08:00+00:00,4.197915757231385e-07,9.999999717180685e-10
2026-06-19 06:09:00+00:00,4.1983929577327217e-07,9.999999717180685e-10
2026-06-19 06:10:00+00:00,4.1978731246672396e-07,9.999999717180685e-10
2026-06-19 06:11:00+00:00,4.1992282717728813e-07,9.999999717180685e-10
2026-06-19 06:12:00+00:00,4.208440600450558e-07,9.999999717180685e-10
2026-06-19 06:13:00+00:00,4.2260404597982415e-07,9.999999717180685e-10
2026-06-19 06:14:00+00:00,4.248867924161459e-07,9.999999717180685e-10
2026-06-19 06:15:00+00:00,4.3579643715929706e-07,9.999999717180685e-10
2026-06-19 06:16:00+00:00,4.454492454897263e-07,9.999999717180685e-10
2026-06-19 06:17:00+00:00,4.55638684115911e-07,9.999999717180685e-10
2026-06-19 06:18:00+00:00,4.7533788460896176e-07,9.999999717180685e-10
2026-06-19 06:19:00+00:00,4.849069910051185e-07,9.999999717180685e-10
2026-06-19 06:20:00+00:00,4.876438879364287e-07,9.999999717180685e-10
2026-06-19 06:21:00+00:00,4.919061211694498e-07,9.999999717180685e-10
2026-06-19 06:22:00+00:00,4.946055014443118e-07,9.999999717180685e-10
2026-06-19 06:23:00+00:00,4.968815687789174e-07,9.999999717180685e-10
2026-06-19 06:24:00+00:00,5.003002456760441e-07,9.999999717180685e-10
2026-06-19 06:25:00+00:00,5.056168674855144e-07,9.999999717180685e-10
2026-06-19 06:26:00+00:00,5.107138463245064e-07,1.6854203588323458e-09
2026-06-19 06:27:00+00:00,5.160790692571027e-07,1.1837263391711872e-09
2026-06-19 06:28:00+00:00,5.144425472281e-07,1.92798954579132e-09
